Country,Airline passengers carried,Year
United States,"66,61,53,000",2021
China,"44,03,01,216",2021
Russia,"9,68,51,770",2021
India,"8,39,64,797",2021
Ireland,"7,40,65,210",2021
Turkey,"6,90,65,870",2021
Brazil,"6,18,96,520",2021
Mexico,"5,42,17,880",2021
Japan,"4,54,10,150",2021
Spain,"4,34,40,480",2021
South Korea,"3,40,20,090",2021
Indonesia,"3,35,49,830",2021
Germany,"3,30,73,180",2021
France,"3,20,00,530",2021
Saudi Arabia,"2,94,03,730",2021
United Arab Emirates,"2,84,22,620",2021
United Kingdom,"2,66,31,930",2021
Colombia,"2,61,67,360",2021
Canada,"2,49,51,000",2021
Australia,"2,45,72,960",2021
Hungary,"2,01,27,200",2021
Sweden,"2,00,67,140",2021
Netherlands,"1,93,49,170",2021
Austria,"1,89,01,050",2021
Qatar,"1,48,32,940",2021
Vietnam,"1,47,54,850",2021
Iran,"1,36,95,900",2021
Thailand,"1,27,34,580",2021
Norway,"1,22,77,220",2020
Switzerland,"1,09,88,880",2021
Chile,"1,03,02,880",2021
South Africa,"93,21,580",2021
Peru,"90,53,970",2021
Kazakhstan,"87,65,000",2021
New Zealand,"87,29,630",2021
Greece,"87,26,340",2021
Panama,"82,08,380",2021
Portugal,"80,56,490",2021
Ethiopia,"70,65,950",2021
Philippines,"68,86,920",2021
Argentina,"67,08,100",2021
Denmark,"64,28,700",2020
Egypt,"55,63,390",2021
Belgium,"54,04,280",2021
Malaysia,"49,65,360",2021
Pakistan,"49,30,660",2021
Morocco,"47,40,710",2021
Nigeria,"44,86,310",2021
Bolivia,"43,11,880",2021
Bangladesh,"37,50,750",2021
Poland,"36,76,180",2021
Ukraine,"32,82,710",2021
Finland,"28,05,550",2021
Romania,"27,19,210",2021
Nepal,"25,50,510",2021
Kenya,"24,59,110",2021
Italy,"24,49,340",2021
Israel,"24,37,210",2021
Singapore,"23,11,710",2021
Kuwait,"21,82,890",2021
Oman,"20,75,390",2021
Uzbekistan,"20,10,910",2021
Algeria,"19,49,940",2021
Bahrain,"18,40,270",2021
Jordan,"16,95,300",2021
Tunisia,"16,75,780",2021
Iraq,"16,20,010",2021
Lebanon,"16,03,130",2021
Latvia,"15,98,680",2021
Ecuador,"15,34,850",2021
Iceland,"14,99,030",2021
Czech Republic,"14,18,030",2021
El Salvador,"14,12,030",2021
Sudan,"13,86,970",2021
Serbia,"12,76,460",2021
Tanzania,"11,46,970",2021
Myanmar,"11,32,660",2021
Azerbaijan,"11,02,450",2021
Luxembourg,"10,81,480",2021
Bahamas,"10,65,150",2021
Belarus,"10,40,730",2021
Papua New Guinea,"10,39,010",2021
Libya,"9,68,480",2021
Sri Lanka,"8,71,680",2021
Hong Kong,"7,77,200",2021
Croatia,"7,67,760",2021
Rwanda,"7,15,760",2021
Macao,"6,98,050",2021
Syria,"6,72,220",2021
Togo,"6,72,180",2021
Belize,"6,70,360",2021
Costa Rica,"6,69,300",2021
Trinidad and Tobago,"6,52,150",2021
Turkmenistan,"6,48,370",2021
Malta,"5,97,720",2021
Ivory Coast,"5,69,310",2021
Uruguay,"5,63,630",2022
Ghana,"5,59,390",2021
Moldova,"5,28,580",2021
Mozambique,"4,11,740",2021
Democratic Republic of the Congo,"3,92,100",2021
Senegal,"3,59,710",2021
Angola,"3,11,490",2021
Afghanistan,"2,93,210",2021
Maldives,"2,77,880",2021
Aruba,"2,74,280",2020
Honduras,"2,71,310",2021
Venezuela,"2,65,280",2021
Mauritania,"2,07,220",2021
Albania,"1,93,260",2021
Jamaica,"1,80,950",2023
Armenia,"1,79,200",2021
Cameroon,"1,77,990",2021
Botswana,"1,72,020",2021
Kyrgyzstan,"1,71,350",2021
Republic of the Congo,"1,57,780",2021
Laos,"1,57,290",2021
Mauritius,"1,53,240",2021
Seychelles,"1,37,560",2021
Zambia,"1,36,610",2021
Fiji,"1,33,710",2021
Vanuatu,"1,28,160",2021
Tajikistan,"1,25,160",2021
Burkina Faso,"1,12,940",2021
Paraguay,"1,11,960",2021
Gambia,"1,09,540",2020
Madagascar,"1,09,460",2021
Cyprus,"1,03,020",2021
Solomon Islands,"1,00,590",2021
North Macedonia,"86,870",2022
Georgia,"84,590",2021
Gabon,"77,320",2023
Cape Verde,"76,350",2021
Zimbabwe,"75,640",2021
Dominican Republic,"69,450",2021
Mongolia,"61,610",2021
Nicaragua,"61,030",2023
Guinea,"58,500",2020
Yemen,"52,030",2021
Cambodia,"50,220",2021
Sierra Leone,"50,190",2022
Kiribati,"46,390",2021
Central African Republic,"46,360",2022
Eritrea,"45,100",2021
Bulgaria,"41,130",2021
Antigua and Barbuda,"40,630",2021
Somalia,"34,070",2021
Mali,"33,440",2023
Equatorial Guinea,"31,270",2021
Marshall Islands,"30,110",2021
Chad,"28,300",2020
São Tomé and Príncipe,"28,020",2021
Brunei,"27,880",2021
Haiti,"23,120",2021
Bhutan,"22,380",2021
Cuba,"22,360",2021
Slovenia,"21,040",2021
Suriname,"20,180",2021
Uganda,"16,490",2021
Niger,"15,020",2021
Eswatini,"13,340",2021
Burundi,"12,000",2021
Lithuania,"11,290",2021
Slovakia,"8,900",2021
Guyana,"7,510",2021
Samoa,"7,210",2021
Nauru,"3,340",2021
Namibia,"2,250",2021
Guatemala,"1,770",2021
Bosnia and Herzegovina,"1,590",2020
Montenegro,"1,590",2021
Lesotho,"1,300",2023
Malawi,"1,290",2021
Benin,900,2020
Estonia,860,2022
North Korea,520,2021
Monaco,320,2021
